epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9132,1.60844,3.17401,3.1829,1.65715,0.24852,0.2624,0.21064,0.11373,0.26287,0.2602,0.21078,0.1108,1.92244,4.80648,4.74938,2.14435,0.000550054,0.000550054,0.000550054
2,76.6711,1.62183,2.63638,2.23605,1.69735,0.00277,0.19549,0.00188,0.00067,0.00254,0.15007,0.00105,0.00034,3.0905,139.74,101.09,3.56272,0.00109477,0.00109477,0.00109477
3,113.713,1.61107,2.56543,2.09989,1.66877,0.10472,0.11289,0.03862,0.01349,0.10574,0.11436,0.03962,0.01387,2.61269,4.72923,8.41796,2.73859,0.00162849,0.00162849,0.00162849
4,150.611,1.61513,2.61196,2.17616,1.65776,0.25664,0.2324,0.27393,0.16221,0.25423,0.2368,0.28731,0.17113,1.86365,3.17987,3.19358,2.29992,0.00161749,0.00161749,0.00161749
5,187.683,1.55204,2.52142,2.07483,1.65048,0.26488,0.19355,0.20634,0.11328,0.26889,0.19648,0.20379,0.11029,1.90686,3.43875,3.07187,2.10397,0.00160099,0.00160099,0.00160099
6,224.403,1.56834,2.5071,2.03547,1.64033,0.84462,0.32551,0.41402,0.25669,0.84782,0.32698,0.40911,0.25763,1.50945,2.7384,2.14572,1.72664,0.00158448,0.00158448,0.00158448
7,260.795,1.49527,2.45319,1.91512,1.58496,0.42015,0.50882,0.45205,0.27298,0.42015,0.50882,0.44365,0.25874,1.45934,2.49509,1.91059,1.7015,0.00156798,0.00156798,0.00156798
8,297.333,1.45566,2.42826,1.84378,1.53239,0.46682,0.56793,0.52236,0.30847,0.46418,0.56574,0.51472,0.31207,1.44869,2.29445,1.59771,1.6604,0.00155148,0.00155148,0.00155148
9,333.897,1.46077,2.39964,1.8993,1.55441,0.56236,0.52817,0.54187,0.32779,0.55157,0.52265,0.52867,0.32705,1.41603,2.35486,1.5699,1.63057,0.00153497,0.00153497,0.00153497
10,370.349,1.41554,2.33695,1.79013,1.50874,0.43282,0.53578,0.4777,0.28628,0.44326,0.5139,0.45955,0.28062,1.39066,2.35229,1.68764,1.60118,0.00151847,0.00151847,0.00151847
11,406.753,1.36192,2.23787,1.64954,1.47404,0.5721,0.56643,0.55786,0.3386,0.58786,0.56016,0.55972,0.35057,1.3655,2.09439,1.53601,1.5725,0.00150197,0.00150197,0.00150197
12,443.241,1.37489,2.3082,1.71379,1.48692,0.56374,0.54535,0.56358,0.33251,0.55542,0.55866,0.55956,0.32671,1.44208,2.16487,1.50893,1.64225,0.00148546,0.00148546,0.00148546
13,479.556,1.33278,2.17795,1.61599,1.45164,0.63143,0.57866,0.61087,0.39275,0.65327,0.5684,0.59353,0.37,1.2914,2.18002,1.40585,1.49404,0.00146896,0.00146896,0.00146896
14,515.937,1.34804,2.24622,1.58144,1.43581,0.48204,0.54911,0.53976,0.33694,0.49641,0.54035,0.53885,0.33652,1.36764,2.07606,1.53385,1.60805,0.00145246,0.00145246,0.00145246
15,552.43,1.33315,2.26032,1.65832,1.45206,0.62498,0.54552,0.58141,0.38248,0.63987,0.53613,0.58214,0.3729,1.2957,2.12607,1.4379,1.52769,0.00143595,0.00143595,0.00143595
16,588.633,1.32845,2.19291,1.59702,1.44287,0.66724,0.61361,0.64668,0.4305,0.66842,0.62215,0.64236,0.41426,1.21282,1.97234,1.35991,1.43607,0.00141945,0.00141945,0.00141945
